"Cigar Monster","http://www.cigarmonster.com",,"?","Y","http://www.cigarmonster.com/rss/cigarmonster.xml","N",,
"Cinderella Wine","http://cinderellawine.com/",,"Household","N",,"N",,
"CloseoutMania","http://www.closeoutmania.com/",,"Clothing / Jewelry","N",,"Y","http://www.shareasale.com/shareasale.cfm?merchantid=24030",
"Collections Etc.","http://www.collectionsetc.com/Products/Sale/category.aspx/_/N-nd1s",,"Household","N",,"Y","http://www.collectionsetc.com/helpaffiliate.aspx",
"Copy Fax Deals","http://www.copyfaxdeals.com/",,"Electronics / Computers","Y","http://www.copyfaxdeals.com/rssfeed.xml","N",,
"CowBoom","http://www.cowboom.com/deal-of-the-day.cfm",,"Electronics / Computers","Y","http://www.cowboom.com/rss/feed.cfm?type=1","Y","http://www.cowboom.com/Affiliates",
"Crazy DOD","http://crazydod.com/",,"?","N",,"N",,
"Creative Brains","http://www.creativebrainsonline.com/DEAL-OF-THE-DAY_c_22.html",,"?","N",,"N",,
"Croton Watch","http://www.crotonwatchdod.com/",,"Clothing / Jewelry","Y","http://www.crotonwatchdod.com/getFeed.ashx?src=dod","N",,
"Cuff-Daddy","http://www.cuff-daddy.com/",,"Clothing / Jewelry","N",,"N",,
"Daily Checkout","http://dailycheckout.com/",,"Electronics / Computers","Y","http://feeds.feedburner.com/dailycheckout/akjp?format=xml","N",,"Multiple Deals on site - see site"
"Daily Cigar Deal","http://dailycigardeal.com/",,"?","Y","http://dailycigardeal.com/dailydeal/ccCigarDealsRss.asp","N",,
"Daily Gem Deals","http://www.dailygemdeals.com/",,"Clothing / Jewelry","N",,"Y","http://www.dailygemdeals.com/affiliate.htm",
"Daily Imprint","http://www.dailyimprint.com/",,"?","N",,"Y","http://www.dailyimprint.com/affiliates/",
"Daily Memoires","http://www.dailymemories.com/",,"Household","Y","http://www.dailymemories.com/rss.php","N",,
"Daily Sales For You Mens","http://www.dailysalesforyou.com/Mens-Watch-Deal",,"Clothing / Jewelry","N",,"N",,
"Daily Sales For You Special","http://www.dailysalesforyou.com/Special-Watch-Deal",,"Clothing / Jewelry","N",,"N",,
"Daily Sales For You Womens","http://www.dailysalesforyou.com/Womens-Watch-Deal",,"Clothing / Jewelry","N",,"N",,
"Daily Shades","http://www.dailyshades.com/",,"Clothing / Jewelry","N",,"N",,
"Daily Steals","http://www.dailysteals.com/",,"?","Y","http://www.dailysteals.com/RSS.aspx","N",,
"Daily Steals Home","http://home.dailysteals.com/",,"Household","Y","http://home.dailysteals.com/RSS.aspx","N",,
"Daily Steals Luxury","http://luxury.dailysteals.com/",,"Clothing / Jewelry","Y","http://luxury.dailysteals.com/RSS.aspx","N",,
"Daily Steals Mobile","http://mobile.dailysteals.com/",,"Electronics / Computers","Y","http://mobile.dailysteals.com/RSS.aspx","N",,
"Daily Steals Toys","http://toys.dailysteals.com/",,"Household","Y","http://toys.dailysteals.com/RSS.aspx",,,
"dailydeals.net","http://www.dailydeals.net/",,"?","Y","http://www.dailydeals.net/x-rss.products.aspx","N",,
"Deal a Day","http://www.dealaday.org/",,"?","N",,"N",,
"Deal a Day Golf","http://dealadaygolf.com/",,"Outdoors / Sports","N",,"N",,
"Deal a Day Golf Past","http://dealadaygolf.com/pastdeals.php",,"Outdoors / Sports","N",,"N",,"Multiple Deals - See site"
"Deal A Day Golf Weekly","http://dealadaygolf.com/weeklydeals.php",,"Outdoors / Sports","N",,"N",,"Multiple Deals - See site"
"Deal a Day Wake","http://www.dealadaywake.com/",,"Outdoors / Sports","Y","http://feeds2.feedburner.com/DealADayWakeProducts","N",,
"Deal Only","http://www.dealonly.com/",,"?","N",,"N",,
"dealdotcom","http://www.dealdotcom.com/home",,"?","Y","http://feeds.feedburner.com/dealdotcom","Y","http://www.dealdotcom.com/blog/category/affiliate-stuff/",
"DealExtreme","http://www.dealextreme.com/",,"Electronics / Computers","Y","http://www.dealextreme.com/rss.dx","Y","http://www.dealextreme.com/affiliates/","Post multiple deals"
"Dealko","http://www.dealko.com/sale",,,"Y","http://www.dealko.com/rss.php","N",,
"DealPulp","http://dealpulp.com/",,"?","Y","http://feeds.feedburner.com/dealpulp?format=xml","Y","http://dealpulp.com/info/affiliate",
"Deals Click","http://www.dealsclick.com/",,"Electronics / Computers","N",,"N",,
"dealxpress","http://www.dealxpress.us/",,"Electronics / Computers","N",,"N",,
"Deep Discount","http://www.deepdiscount.com/deals_daily-deep-deal/",,"?","N",,"N",,
"Delight","http://www.delight.com/",,"Clothing / Jewelry","Y","https://feeds.feedburner.com/delight/eTJS","N",,
